isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	_isolate_name	notes
1003406	202404687	14834	1	Potyvirus batatamaculae	E	sweet potato mild speckling virus	SPMSV	AR	U61228	NC_038563	Partial genome	ssRNA(+)	plants	NULL	48982	same	Potyvirus batatamaculae	202304687	NULL	sweet potato mild speckling virus	NULL
1003407	202404688	14885	1	Potyvirus duobatatae	E	sweet potato virus 2	SPV2	GWB-2	JN613807	NC_017970	Complete genome	ssRNA(+)	plants	NULL	453050	same	Potyvirus duobatatae	202304688	NULL	sweet potato virus 2	NULL
1003408	202404689	14857	1	Potyvirus cebatatae	E	sweet potato virus C	SPVC	C1	GU207957	NC_014742	Complete genome	ssRNA(+)	plants	NULL	930881	same	Potyvirus cebatatae	202304689	NULL	sweet potato virus C	NULL
1003409	202404690	14893	1	Potyvirus gebatatae	E	sweet potato virus G	SPVG	Jesus Maria	JQ824374	NC_018093	Complete genome	ssRNA(+)	plants	NULL	46619	same	Potyvirus gebatatae	202304690	NULL	sweet potato virus G	NULL
1003410	202404691	14838	1	Potyvirus betaci	E	Tamarillo leaf malformation virus	TLMV	A	KM523548	NC_026615	Complete genome	ssRNA(+)	plants	NULL	945960	same	Potyvirus betaci	202304691	NULL	Tamarillo leaf malformation virus	NULL
1003411	202404692	14991	1	Potyvirus telfairiae	E	Telfairia mosaic virus	TeMV	NULL	NULL	NULL	No entry in Genbank	ssRNA(+)	plants	NULL	NULL	same	Potyvirus telfairiae	202304692	NULL	Telfairia mosaic virus	NULL
1003412	202404693	14992	1	Potyvirus telosmae	E	Telosma mosaic virus	TelMV	Hanoi	DQ851493	NC_009742	Complete genome	ssRNA(+)	plants	NULL	400394	same	Potyvirus telosmae	202304693	NULL	Telosma mosaic virus	NULL
1003413	202404694	14996	1	Potyvirus thurnbergii	E	Thunberg fritillary mosaic virus	TFMV	Ningbo	AJ851866	NC_007180	Complete genome	ssRNA(+)	plants	NULL	299200	same	Potyvirus thurnbergii	202304694	NULL	Thunberg fritillary mosaic virus	NULL
1003414	202404695	14934	1	Potyvirus nicotianainsculpentis	E	tobacco etch virus	TEV	HAT	M11458	NC_001555	Complete genome	ssRNA(+)	plants	NULL	12227	same	Potyvirus nicotianainsculpentis	202304695	NULL	tobacco etch virus	NULL
1003415	202405924	14935	1	Potyvirus nicotianamaculae	E	tobacco mosqueado virus	TMosqV	RS-01	KT834407	NC_030118	Complete genome	ssRNA(+)	plants	NULL	1792583	same	Potyvirus nicotianamaculae	202305924	NULL	tobacco mosqueado virus	NULL
1003416	202404696	14937	1	Potyvirus nicotianavenaobscurum	E	tobacco vein banding mosaic virus	TVBMV	YND	EF219408	NC_009994	Complete genome	ssRNA(+)	plants	NULL	33765	same	Potyvirus nicotianavenaobscurum	202304696	NULL	tobacco vein banding mosaic virus	NULL
1003417	202404697	14936	1	Potyvirus nicotianavenamaculae	E	tobacco vein mottling virus	TVMV	KY	X04083	NC_001768	Complete genome	ssRNA(+)	plants	NULL	12228	same	Potyvirus nicotianavenamaculae	202304697	NULL	tobacco vein mottling virus	NULL
1003418	202404698	14886	1	Potyvirus esculentinecrosis	E	tomato necrotic stunt virus	TNSV	MX9354	JQ314463	NC_017824	Complete genome	ssRNA(+)	plants	NULL	1176153	same	Potyvirus esculentinecrosis	202304698	NULL	tomato necrotic stunt virus	NULL
1003419	202404699	14998	1	Potyvirus tradescantiae	E	Tradescantia mild mosaic virus	TraMMV	IFA195	AY861351	NC_043166	Partial genome	ssRNA(+)	plants	NULL	307997	same	Potyvirus tradescantiae	202304699	NULL	Tradescantia mild mosaic virus	NULL
1003420	202404700	14971	1	Potyvirus polianthis	E	tuberose mild mosaic virus	TuMMV	TW	AF062926	NC_043167	Partial genome	ssRNA(+)	plants	NULL	101281	same	Potyvirus polianthis	202304700	NULL	tuberose mild mosaic virus	NULL
1003421	202404701	14972	1	Potyvirus polianthismaculae	E	tuberose mild mottle virus	TuMMoV	Hangzhou	AJ581528	NC_043424	Partial genome	ssRNA(+)	plants	NULL	244050	same	Potyvirus polianthismaculae	202304701	NULL	tuberose mild mottle virus	NULL
1003422	202404702	15003	1	Potyvirus tulipadefractum	E	tulip breaking virus	TBV	Texas Flame	KF826466	NC_043168	Partial genome	ssRNA(+)	plants	NULL	12229	same	Potyvirus tulipadefractum	202304702	NULL	tulip breaking virus	NULL
1003423	202404703	15004	1	Potyvirus tulipatessellati	E	tulip mosaic virus	TulMV	JP	X63630	NC_043425	Partial genome	ssRNA(+)	plants	NULL	35284	same	Potyvirus tulipatessellati	202304703	NULL	tulip mosaic virus	NULL
1003424	202404704	14979	1	Potyvirus rapae	E	turnip mosaic virus	TuMV	UK1	AF169561	NC_002509	Complete genome	ssRNA(+)	plants	NULL	12230	same	Potyvirus rapae	202304704	NULL	turnip mosaic virus	NULL
1003425	202404705	14988	1	Potyvirus streptopi	E	twisted-stalk chlorotic streak virus	TSCSV	Denali 2001	AY954248	NC_043169	Partial genome	ssRNA(+)	plants	NULL	329048	same	Potyvirus streptopi	202304705	NULL	twisted-stalk chlorotic streak virus	NULL
1003426	202409675	14952	1	Potyvirus passiflorafricanse	E	Ugandan Passiflora virus	UPV	KH7-1	MK110656	NC_076338	Complete genome	ssRNA(+)	plants	NULL	NULL	same	Potyvirus passiflorafricanse	202309675	NULL	Ugandan Passiflora virus	NULL
1003427	202404706	15005	1	Potyvirus vallotae	E	Vallota mosaic virus	ValMV	NZ	FJ618540	NC_043170	Partial genome	ssRNA(+)	plants	NULL	430059	same	Potyvirus vallotae	202304706	NULL	Vallota mosaic virus	NULL
1003428	202404707	15006	1	Potyvirus vanillae	E	vanilla distortion mosaic virus	VDMV	Cor	KF906523	NC_025250	Complete genome	ssRNA(+)	plants	NULL	326202	same	Potyvirus vanillae	202304707	NULL	vanilla distortion mosaic virus	NULL
1003429	202404708	15007	1	Potyvirus verbenae	E	Verbena virus Y	VVY	Michigan	EU564817	NC_010735	Complete genome	ssRNA(+)	plants	NULL	515446	same	Potyvirus verbenae	202304708	NULL	Verbena virus Y	NULL
1003430	202404709	14864	1	Potyvirus citrullufolimaculae	E	watermelon leaf mottle virus	WLMV	FL	AF028004	NC_043171	Partial genome	ssRNA(+)	plants	NULL	70134	same	Potyvirus citrullufolimaculae	202304709	NULL	watermelon leaf mottle virus	NULL
1003431	202404710	14862	1	Potyvirus citrulli	E	watermelon mosaic virus	WMV	Fr	AY437609	NC_006262	Complete genome	ssRNA(+)	plants	NULL	146500	same	Potyvirus citrulli	202304710	NULL	watermelon mosaic virus	NULL
1003432	202406677	14924	1	Potyvirus melozonati	E	wild melon banding virus	WMVBV	Su03-07	KY623506	NC_035458	Complete genome	ssRNA(+)	plants	NULL	2018313	same	Potyvirus melozonati	202306677	NULL	wild melon banding virus	NULL
1003433	202405925	14813	1	Potyvirus alliumagrestis	E	wild onion symptomless virus	WoSV	TUR256-1	LC159494	NC_030391	Coding-complete genome	ssRNA(+)	plants	NULL	1862127	same	Potyvirus alliumagrestis	202305925	NULL	wild onion symptomless virus	NULL
1003434	202404711	14928	1	Potyvirus muricati	E	wild potato mosaic virus	WPMV	Type	AJ437279	NC_004426	Complete genome	ssRNA(+)	plants	NULL	187977	same	Potyvirus muricati	202304711	NULL	wild potato mosaic virus	NULL
1003435	202404712	14997	1	Potyvirus torvi	E	wild tomato mosaic virus	WTMV	Laichau	DQ851495	NC_009744	Complete genome	ssRNA(+)	plants	NULL	400396	same	Potyvirus torvi	202304712	NULL	wild tomato mosaic virus	NULL
1003436	202404713	15010	1	Potyvirus wisteriae	E	Wisteria vein mosaic virus	WVMV	Beijing	AY656816	NC_007216	Complete genome	ssRNA(+)	plants	NULL	201862	same	Potyvirus wisteriae	202304713	NULL	Wisteria vein mosaic virus	NULL
1003437	202404714	15011	1	Potyvirus yamplacidum	E	yam mild mosaic virus	YMMV	Brazil	JX470965	NC_019412	Complete genome	ssRNA(+)	plants	NULL	87097	same	Potyvirus yamplacidum	202304714	NULL	yam mild mosaic virus	NULL
1003438	202404715	15012	1	Potyvirus yamtesselati	E	yam mosaic virus	YMV	Ivory Coast	U42596	NC_004752	Complete genome	ssRNA(+)	plants	NULL	41460	same	Potyvirus yamtesselati	202304715	NULL	yam mosaic virus	NULL
1003439	202404716	14943	1	Potyvirus pachyrhizus	E	yambean mosaic virus	YBMV	SR	JN190431	NC_016441	Complete genome	ssRNA(+)	plants	NULL	418827	same	Potyvirus pachyrhizus	202304716	NULL	yambean mosaic virus	NULL
1003440	202404717	15019	1	Potyvirus zantedeschiatenuis	E	Zantedeschia mild mosaic virus	ZaMMV	TW	AY626825	NC_011560	Complete genome	ssRNA(+)	plants	NULL	270478	same	Potyvirus zantedeschiatenuis	202304717	NULL	Zantedeschia mild mosaic virus	NULL
1003441	202404718	15021	1	Potyvirus zeatessellati	E	Zea mosaic virus; Iranian johnsongrass mosaic virus	ZeMV; IJGMV	Shz	JQ692088	NC_018833	Complete genome	ssRNA(+)	plants	NULL	204478	same	Potyvirus zeatessellati	202304718	NULL	Zea mosaic virus	NULL
1003442	202404719	14958	1	Potyvirus peporesticulae	E	zucchini shoestring virus	ZSV	RSA Patty pan	KU355553	NC_043172	Coding-complete genome	ssRNA(+)	plants	NULL	1679239	same	Potyvirus peporesticulae	202304719	NULL	zucchini shoestring virus	NULL
