subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	21	Rename	species	Citrus dwarfing viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus dwarfing viroid' to 'Apscaviroid CDVd' in 'Pospiviroidae;Apscaviroid;Apscaviroid CDVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	22	Rename	species	Citrus viroid V	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus viroid V' to 'Apscaviroid CVdV' in 'Pospiviroidae;Apscaviroid;Apscaviroid CVdV'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	23	Rename	species	Citrus viroid VI	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus viroid VI' to 'Apscaviroid CVdVI' in 'Pospiviroidae;Apscaviroid;Apscaviroid CVdVI'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	24	Rename	species	Grapevine yellow speckle viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine yellow speckle viroid 1' to 'Apscaviroid GYSVd1' in 'Pospiviroidae;Apscaviroid;Apscaviroid GYSVd1'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	25	Rename	species	Grapevine yellow speckle viroid 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine yellow speckle viroid 2' to 'Apscaviroid GYSVd2' in 'Pospiviroidae;Apscaviroid;Apscaviroid GYSVd2'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	26	Rename	species	Pear blister canker viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pear blister canker viroid' to 'Apscaviroid PBCVd' in 'Pospiviroidae;Apscaviroid;Apscaviroid PBCVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	27	Rename	species	Citrus bark cracking viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus bark cracking viroid' to 'Cocadviroid CBCVd' in 'Pospiviroidae;Cocadviroid;Cocadviroid CBCVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	28	Rename	species	Coconut cadang-cadang viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coconut cadang-cadang viroid' to 'Cocadviroid CCCVd' in 'Pospiviroidae;Cocadviroid;Cocadviroid CCCVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	29	Rename	species	Coconut tinangaja viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coconut tinangaja viroid' to 'Cocadviroid CiTVd' in 'Pospiviroidae;Cocadviroid;Cocadviroid CiTVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	30	Rename	species	Hop latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hop latent viroid' to 'Cocadviroid HLVd' in 'Pospiviroidae;Cocadviroid;Cocadviroid HLVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	31	Rename	species	Coleus blumei viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 1' to 'Coleviroid CbVd1' in 'Pospiviroidae;Coleviroid;Coleviroid CbVd1'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	32	Rename	species	Coleus blumei viroid 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 2' to 'Coleviroid CbVd2' in 'Pospiviroidae;Coleviroid;Coleviroid CbVd2'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	33	Rename	species	Coleus blumei viroid 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 3' to 'Coleviroid CbVd3' in 'Pospiviroidae;Coleviroid;Coleviroid CbVd3'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	34	Rename	species	Coleviroid cbvd-5	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleviroid cbvd-5' to 'Coleviroid CbVd-5' in 'Pospiviroidae;Coleviroid;Coleviroid CbVd-5'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	35	Rename	species	Coleviroid cbvd-6	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleviroid cbvd-6' to 'Coleviroid CbVd-6' in 'Pospiviroidae;Coleviroid;Coleviroid CbVd-6'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	36	Rename	species	Dahlia latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Dahlia latent viroid' to 'Hostuviroid DLVd' in 'Pospiviroidae;Hostuviroid;Hostuviroid DLVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	37	Rename	species	Hop stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hop stunt viroid' to 'Hostuviroid HSVd' in 'Pospiviroidae;Hostuviroid;Hostuviroid HSVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	38	Rename	species	Chrysanthemum stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Chrysanthemum stunt viroid' to 'Pospiviroid CSVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid CSVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	39	Rename	species	Citrus exocortis viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus exocortis viroid' to 'Pospiviroid CEVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid CEVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	40	Rename	species	Columnea latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Columnea latent viroid' to 'Pospiviroid CLVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid CLVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	41	Rename	species	Iresine viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Iresine viroid 1' to 'Pospiviroid IrVd1' in 'Pospiviroidae;Pospiviroid;Pospiviroid IrVd1'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	42	Rename	species	Pepper chat fruit viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper chat fruit viroid' to 'Pospiviroid PCFVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid PCFVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	43	Rename	species	Pospiviroid plvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pospiviroid plvd' to 'Pospiviroid PLVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid PLVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	44	Rename	species	Potato spindle tuber viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Potato spindle tuber viroid' to 'Pospiviroid PSTVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid PSTVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	45	Rename	species	Tomato apical stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato apical stunt viroid' to 'Pospiviroid TASVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid TASVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	46	Rename	species	Tomato chlorotic dwarf viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato chlorotic dwarf viroid' to 'Pospiviroid TCDVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid TCDVd'	NA
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	47	Rename	species	Tomato planta macho viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato planta macho viroid' to 'Pospiviroid TPMVd' in 'Pospiviroidae;Pospiviroid;Pospiviroid TPMVd'	NA
