subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	14	Create new	species	Amdoparvovirus carnivoran9	WARNING	CREATE.W_SRC	Change=CREATE, but 'current taxonomy' is not empty; perhaps you meant SPLIT	currentVsProposed=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;[Amdoparvovirus carnivoran1//Amdoparvovirus carnivoran9], currentTaxonomy=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran1, proposedTaxonomy=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran9	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	14	Create new	species	Amdoparvovirus carnivoran1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran9'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	15	Create new	species	Amdoparvovirus carnivoran10	WARNING	CREATE.W_SRC	Change=CREATE, but 'current taxonomy' is not empty; perhaps you meant SPLIT	currentVsProposed=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;[Amdoparvovirus carnivoran1//Amdoparvovirus carnivoran10], currentTaxonomy=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran1, proposedTaxonomy=Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran10	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	15	Create new	species	Amdoparvovirus carnivoran1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus carnivoran10'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	16	Create new	species	Amdoparvovirus chiropteran1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Amdoparvovirus;Amdoparvovirus chiropteran1'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	17	Create new	species	Protoparvovirus ungulate4	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Protoparvovirus;Protoparvovirus ungulate4'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	18	Create new	species	Copiparvovirus ungulate9	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Copiparvovirus;Copiparvovirus ungulate9'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.007D	2023.007D.N.v1.Parvoviridae_12nsp.docx	2023.007D.N.v1.Parvoviridae_12nsp.xlsx	19	Create new	species	Dependoparvovirus psittacine1	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Dependoparvovirus;Dependoparvovirus psittacine1'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	5	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT=.OK	Change=SPLIT, applied successfully	SPLIT species named 'Hemiambidensovirus hemipteran1' to species named 'Hemiambidensovirus hemipteran1' change=[identical]Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran1	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	6	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran split1'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	7	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran split2'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	8	Split	species	Hemiambidensovirus hemipteran1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Hemiambidensovirus;Hemiambidensovirus hemipteran split3 dup acc'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	9	Split	genus	Iteradensovirus	SUCCESS	SPLIT=.OK	Change=SPLIT, applied successfully	SPLIT genus named 'Iteradensovirus' to genus named 'Iteradensovirus' change=[identical]Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	10	Split	genus	Iteradensovirus	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create genus of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus2'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	11	Split	subgenus	Iteradensovirus	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create subgenus of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus;IteradensovirusSplitSub'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	12	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1a'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	13	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1b'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	14	Split	species	Erythroparvovirus pinniped1	SUCCESS	SPLIT.OK	Change=SPLIT, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1c'	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	14	split_abolish	species	Erythroparvovirus pinniped1	INFO	SPLIT.IMPLICIT_ABOLISH	Change=SPLIT, but no split line kept original name, so remove original name from new MSL	removed species Erythroparvovirus pinniped1 from Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus pinniped1	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	NA	NA	genus	Iteradensovirus2	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the genus 'Iteradensovirus2' is empty - it does not contain any lower rank taxons	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.907D	MISSING	2023.907D.N.v1.Correct_split.xlsx	NA	NA	subgenus	IteradensovirusSplitSub	ERROR	PROPOSAL.EMPTY_TAXA	Proposal created empty (non-species) taxa	the subgenus 'IteradensovirusSplitSub' is empty - it does not contain any lower rank taxons	NA
