subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	22	Rename	species	Citrus viroid V	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus viroid V' to 'Apscaviroid CVdV' in 'Pospiviroidae;Apscaviroid'	NA	19
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	23	Rename	species	Citrus viroid VI	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus viroid VI' to 'Apscaviroid CVdVI' in 'Pospiviroidae;Apscaviroid'	NA	20
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	24	Rename	species	Grapevine yellow speckle viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine yellow speckle viroid 1' to 'Apscaviroid GYSVd1' in 'Pospiviroidae;Apscaviroid'	NA	21
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	25	Rename	species	Grapevine yellow speckle viroid 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine yellow speckle viroid 2' to 'Apscaviroid GYSVd2' in 'Pospiviroidae;Apscaviroid'	NA	22
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	26	Rename	species	Pear blister canker viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pear blister canker viroid' to 'Apscaviroid PBCVd' in 'Pospiviroidae;Apscaviroid'	NA	23
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	27	Rename	species	Citrus bark cracking viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus bark cracking viroid' to 'Cocadviroid CBCVd' in 'Pospiviroidae;Cocadviroid'	NA	24
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	28	Rename	species	Coconut cadang-cadang viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coconut cadang-cadang viroid' to 'Cocadviroid CCCVd' in 'Pospiviroidae;Cocadviroid'	NA	25
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	29	Rename	species	Coconut tinangaja viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coconut tinangaja viroid' to 'Cocadviroid CiTVd' in 'Pospiviroidae;Cocadviroid'	NA	26
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	30	Rename	species	Hop latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hop latent viroid' to 'Cocadviroid HLVd' in 'Pospiviroidae;Cocadviroid'	NA	27
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	31	Rename	species	Coleus blumei viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 1' to 'Coleviroid CbVd1' in 'Pospiviroidae;Coleviroid'	NA	28
