Isolate ID	Species Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Genome coverage	Genome	Host source	Accessions Link	Editor Notes	QC_status	QC_taxon_inher_molecule	QC_taxon_change	QC_taxon_proposal
=HYPERLINK("https://ictv.global/id/VMR1028127","VMR1028127")	1	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Chiyouviridae		Wargodvirus		Wargodvirus xiongnu	=HYPERLINK("https://ictv.global/id/ICTV202420188","ICTV202420188")	E	Bathyarchaeia bifangarchaeales chiyouvirus 1	BbCV1		PP467602	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/PP467602","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000002","VMR1000002")	2	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus beppuense	=HYPERLINK("https://ictv.global/id/ICTV201908643","ICTV201908643")	E	Sulfolobus filamentous virus 1	SFV1	S48	MH447526	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MH447526","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000001","VMR1000001")	3	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus umijigokuense	=HYPERLINK("https://ictv.global/id/ICTV201908644","ICTV201908644")	E	Sulfolobales Beppu filamentous virus 2	SBFV2	clone B	MK064563	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK064563","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000003","VMR1000003")	4	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus acidiani	=HYPERLINK("https://ictv.global/id/ICTV20094000","ICTV20094000")	E	Acidianus filamentous virus 3	AFV3		AM087120	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087120","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000008","VMR1000008")	5	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus hveragerdiense	=HYPERLINK("https://ictv.global/id/ICTV20041365","ICTV20041365")	E	Sulfolobus islandicus filamentous virus	SIFV		AF440571	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AF440571","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000005","VMR1000005")	6	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pezzuloense	=HYPERLINK("https://ictv.global/id/ICTV20094002","ICTV20094002")	E	Acidianus filamentous virus 7	AFV7		AM087122	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087122","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000004","VMR1000004")	7	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pozzuoliense	=HYPERLINK("https://ictv.global/id/ICTV20094001","ICTV20094001")	E	Acidianus filamentous virus 6	AFV6		AM087121	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087121","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000006","VMR1000006")	8	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus puteoliense	=HYPERLINK("https://ictv.global/id/ICTV20094003","ICTV20094003")	E	Acidianus filamentous virus 8	AFV8		AM087123	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AM087123","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000007","VMR1000007")	9	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus uzonense	=HYPERLINK("https://ictv.global/id/ICTV20094004","ICTV20094004")	E	Acidianus filamentous virus 9	AFV9		EU545650	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/EU545650","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000010","VMR1000010")	10	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus beppuense	=HYPERLINK("https://ictv.global/id/ICTV201908645","ICTV201908645")	E	Sulfolobales Beppu filamentous virus 3	SBFV3	clone C	MK064564	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK064564","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000009","VMR1000009")	11	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus pozzuoliense	=HYPERLINK("https://ictv.global/id/ICTV20084110","ICTV20084110")	E	Acidianus filamentous virus 2	AFV2		AJ854042	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ854042","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000011","VMR1000011")	12	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus furnasense	=HYPERLINK("https://ictv.global/id/ICTV202011720","ICTV202011720")	E	Stygiolobus rod-shaped virus	SRV		FM164764	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/FM164764","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000013","VMR1000013")	13	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus acidiani	=HYPERLINK("https://ictv.global/id/ICTV202011717","ICTV202011717")	E	Acidianus rod-shaped virus 3	ARV3		MN876842	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MN876842","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000014","VMR1000014")	14	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus metallosphaerae	=HYPERLINK("https://ictv.global/id/ICTV202011718","ICTV202011718")	E	Metallosphaera rod-shaped virus 1	MRV1		MN876843	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MN876843","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000012","VMR1000012")	15	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus pozzuoliense	=HYPERLINK("https://ictv.global/id/ICTV202011716","ICTV202011716")	E	Acidianus rod-shaped virus 2	ARV2		KP282675	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KP282675","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000015","VMR1000015")	16	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus saccharolobi	=HYPERLINK("https://ictv.global/id/ICTV202011719","ICTV202011719")	E	Saccharolobus solfataricus rod-shaped virus 1	SSRV1		MN876841	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MN876841","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000018","VMR1000018")	17	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus gunnuhverense	=HYPERLINK("https://ictv.global/id/ICTV202011709","ICTV202011709")	E	Sulfolobus islandicus rod-shaped virus 3	SIRV3		KX712143	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KX712143","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000017","VMR1000017")	18	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus hveragerdiense	=HYPERLINK("https://ictv.global/id/ICTV19991653","ICTV19991653")	E	Sulfolobus islandicus rod-shaped virus 2	SIRV2		AJ344259	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ344259","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000016","VMR1000016")	19	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus kverkfjoellense	=HYPERLINK("https://ictv.global/id/ICTV19972219","ICTV19972219")	E	Sulfolobus islandicus rod-shaped virus 1	SIRV1		AJ414696	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ414696","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000019","VMR1000019")	20	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus pozzuoliense	=HYPERLINK("https://ictv.global/id/ICTV20084855","ICTV20084855")	E	Acidianus rod-shaped virus 1	ARV1		AJ875026	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ875026","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000020","VMR1000020")	21	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus beppuense	=HYPERLINK("https://ictv.global/id/ICTV202011721","ICTV202011721")	E	Sulfolobales Beppu rod-shaped virus 1	SBRV1		MK064565	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK064565","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000021","VMR1000021")	22	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus azufresense	=HYPERLINK("https://ictv.global/id/ICTV202011722","ICTV202011722")	E	Sulfolobales Mexican rod-shaped virus 1	SMRV1		JX944686	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/JX944686","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000022","VMR1000022")	23	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus acidum	=HYPERLINK("https://ictv.global/id/ICTV202011714","ICTV202011714")	E	Sulfolobus islandicus rod-shaped virus 10	SIRV10		KY744230	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744230","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000027","VMR1000027")	24	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus aestus	=HYPERLINK("https://ictv.global/id/ICTV202011713","ICTV202011713")	E	Sulfolobus islandicus rod-shaped virus 9	SIRV9		KY744228	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744228","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000026","VMR1000026")	25	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus caloris	=HYPERLINK("https://ictv.global/id/ICTV202011712","ICTV202011712")	E	Sulfolobus islandicus rod-shaped virus 8	SIRV8		KY744229	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744229","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000023","VMR1000023")	26	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus dryadis	=HYPERLINK("https://ictv.global/id/ICTV202011715","ICTV202011715")	E	Sulfolobus islandicus rod-shaped virus 11	SIRV11		KY744234	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744234","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000025","VMR1000025")	27	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus nymphense	=HYPERLINK("https://ictv.global/id/ICTV202011711","ICTV202011711")	E	Sulfolobus islandicus rod-shaped virus 5	SIRV5		KY744233	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744233","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000024","VMR1000024")	28	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus yellowstonense	=HYPERLINK("https://ictv.global/id/ICTV202011710","ICTV202011710")	E	Sulfolobus islandicus rod-shaped virus 4	SIRV4		KY744231	Coding-complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KY744231","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000028","VMR1000028")	29	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus yellowstonense	=HYPERLINK("https://ictv.global/id/ICTV20041366","ICTV20041366")	E	Acidianus filamentous virus 1	AFV1		AJ567472	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AJ567472","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1030433","VMR1030433")	30	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus juandefucaense	=HYPERLINK("https://ictv.global/id/ICTV202522027","ICTV202522027")	E	Archaeal virus JdFR077	JdFR077		PQ111746	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/PQ111746","NCBI Nucleotide")			dsDNA	created	=HYPERLINK("https://ictv.global/ictv/proposals/2025.001A.Crust_viruses_6nf.zip","2025.001A.Crust_viruses_6nf.zip")
=HYPERLINK("https://ictv.global/id/VMR1000029","VMR1000029")	31	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus pescaderoense	=HYPERLINK("https://ictv.global/id/ICTV202214297","ICTV202214297")	E	Methanophagales virus PBV300	PBV300		OP413840	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/OP413840","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000030","VMR1000030")	32	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus pozzuoliense	=HYPERLINK("https://ictv.global/id/ICTV20165504","ICTV20165504")	E	Pyrobaculum filamentous virus 1	PFV1		KU307456	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KU307456","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000031","VMR1000031")	33	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus puteoliense	=HYPERLINK("https://ictv.global/id/ICTV202012054","ICTV202012054")	E	Pyrobaculum filamentous virus 2	PFV2		MN876844	Complete genome	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MN876844","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000032","VMR1000032")	34	1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus kraflaense	=HYPERLINK("https://ictv.global/id/ICTV19871208","ICTV19871208")	E	Thermoproteus tenax virus 1	TTV1	KRA1	X14855	Partial genome (non-compliant)	dsDNA	archaea	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/X14855","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000033","VMR1000033")	35	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo1	=HYPERLINK("https://ictv.global/id/ICTV20093038","ICTV20093038")	E	Lucké tumor herpesvirus; ranid herpesvirus 1	LTHV; RaHV1	McKinnell	DQ665917	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/DQ665917","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000034","VMR1000034")	36	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo2	=HYPERLINK("https://ictv.global/id/ICTV20093039","ICTV20093039")	E	frog virus 4; ranid herpesvirus 2	FV4; RaHV2	Rafferty	DQ665652	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/DQ665652","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000035","VMR1000035")	37	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo3	=HYPERLINK("https://ictv.global/id/ICTV20175570","ICTV20175570")	E	ranid herpesvirus 3	RaHV3	FO1_2015	KX832224	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/KX832224","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000036","VMR1000036")	38	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus anguillidallo1	=HYPERLINK("https://ictv.global/id/ICTV20115694","ICTV20115694")	E	Japanese eel herpesvirus; anguillid herpesvirus 1	AngHV1	500138	FJ940765	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/FJ940765","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000037","VMR1000037")	39	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo1	=HYPERLINK("https://ictv.global/id/ICTV20093040","ICTV20093040")	E	carp pox herpesvirus; cyprinid herpesvirus 1	CyHV1	NG-J1	JQ815363	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/JQ815363","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000038","VMR1000038")	40	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo2	=HYPERLINK("https://ictv.global/id/ICTV20093041","ICTV20093041")	E	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	CyHV2	ST-J1	JQ815364	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/JQ815364","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000039","VMR1000039")	41	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo3	=HYPERLINK("https://ictv.global/id/ICTV20083037","ICTV20083037")	E	koi herpesvirus; cyprinid herpesvirus 3	KHV; CyHV3	KHV-U	DQ657948	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/DQ657948","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000040","VMR1000040")	42	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus acipenseridallo2	=HYPERLINK("https://ictv.global/id/ICTV20093043","ICTV20093043")	E	white sturgeon herpesvirus 2; acipenserid herpesvirus 2	AciHV2	SRWSHV	FJ815289	Partial genome (non-compliant)	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/FJ815289","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000041","VMR1000041")	43	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo1	=HYPERLINK("https://ictv.global/id/ICTV19981539","ICTV19981539")	E	channel catfish virus; ictalurid herpesvirus 1	CCV; IcHV1	Auburn 1	M75136	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/M75136","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000042","VMR1000042")	44	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo2	=HYPERLINK("https://ictv.global/id/ICTV20093045","ICTV20093045")	E	black bullhead herpesvirus; ictalurid herpesvirus 2	IcHV2	760/94	MG271984	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MG271984","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000043","VMR1000043")	45	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo1	=HYPERLINK("https://ictv.global/id/ICTV20093046","ICTV20093046")	E	herpesvirus salmonis; salmonid herpesvirus 1	SalHV1	Winthrop	AF023673	Partial genome (non-compliant)	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AF023673","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000044","VMR1000044")	46	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo2	=HYPERLINK("https://ictv.global/id/ICTV20093047","ICTV20093047")	E	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2	SalHV2	NeVTA	EU349274	Partial genome (non-compliant)	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/EU349274","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000045","VMR1000045")	47	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo3	=HYPERLINK("https://ictv.global/id/ICTV20095288","ICTV20095288")	E	epizootic epitheliotropic disease virus; salmonid herpesvirus 3	SalHV3	Wisconsin epidemic	EU349277	Partial genome (non-compliant)	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/EU349277","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000046","VMR1000046")	48	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Aurivirus		Aurivirus haliotidmalaco1	=HYPERLINK("https://ictv.global/id/ICTV20125911","ICTV20125911")	E	abalone herpesvirus; haliotid herpesvirus 1	AbHV1; HaHV1	Victoria/AUS/2009	JX453331	Complete genome	dsDNA	invertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/JX453331","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000047","VMR1000047")	49	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Ostreavirus		Ostreavirus ostreidmalaco1	=HYPERLINK("https://ictv.global/id/ICTV20083116","ICTV20083116")	E	oyster herpesvirus; ostreid herpesvirus 1	OHV; OsHV1		AY509253	Complete genome	dsDNA	invertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AY509253","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000048","VMR1000048")	50	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus cacatuidalpha2	=HYPERLINK("https://ictv.global/id/ICTV202214013","ICTV202214013")	E	cacatuid alphaherpesvirus 2	CcAHV2	CaHV2/Melbourne/2015	MK360902	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/MK360902","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000049","VMR1000049")	51	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus gallidalpha1	=HYPERLINK("https://ictv.global/id/ICTV19951033","ICTV19951033")	E	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	GaAHV1; ILTV	SA2	JN596962	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/JN596962","NCBI Nucleotide")			dsDNA	same	
=HYPERLINK("https://ictv.global/id/VMR1000050","VMR1000050")	52	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha1	=HYPERLINK("https://ictv.global/id/ICTV20073819","ICTV20073819")	E	psittacid alphaherpesvirus 1; Pacheco's disease virus	PsAHV1; PDV	97-0001	AY372243	Complete genome	dsDNA	vertebrates	=HYPERLINK("https://www.ncbi.nlm.nih.gov/nuccore/AY372243","NCBI Nucleotide")			dsDNA	same	
