subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	10	Move	family	Mypoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Mypoviridae' to family named 'Mypoviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Mypoviridae];[Mypoviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	11	Move	family	Nairoviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	11	Move	family	Nairoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Nairoviridae' to family named 'Nairoviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Nairoviridae];[Nairoviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	12	Move	family	Phenuiviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	12	Move	family	Phenuiviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Phenuiviridae' to family named 'Phenuiviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Phenuiviridae];[Phenuiviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	13	Move	family	Wupedeviridae	WARNING	MOVE.PARENT_LINEAGE	Change=MOVE, proposed parent taxon exists, but not with expected lineage	,proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Goldbavirales//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Goldbavirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes, otherProposals=2023.024M:5	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	13	Move	family	Wupedeviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Wupedeviridae' to family named 'Wupedeviridae' change=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Wupedeviridae];[Wupedeviridae//]	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	14	Rename	order	Bunyavirales	WARNING	RENAME.PARENT_NAME	parent name not as expected; was this meant to be a move? Is there a typo?	parent class in this proposal: 'Ellioviricetes', but MSL parent is class 'Bunyaviricetes'; other new proposals: NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	14	Rename	order	Bunyavirales	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME order from 'Bunyavirales' to 'Elliovirales' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	15	Create new	species	Lincruvirus braziliense	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Elliovirales//Bunyavirales];Cruliviridae;Lincruvirus, proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Cruliviridae;Lincruvirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Cruliviridae;Lincruvirus, otherProposals=NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	15	Create new	species	Lincruvirus braziliense	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Cruliviridae;Lincruvirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	16	Create new	genus	Paratulasvirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Elliovirales//Bunyavirales];Tulasviridae, proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Tulasviridae, otherProposals=NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	16	Create new	genus	Paratulasvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	17	Create new	species	Paratulasvirus agrocybes	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae;[Paratulasvirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae;Paratulasvirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae, otherProposals=2023.024M:16	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	17	Create new	species	Paratulasvirus agrocybes	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Tulasviridae;Paratulasvirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	18	Create new	family	Konkoviridae	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellioviricetes//Bunyaviricetes];Elliovirales, proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales, otherProposals=2023.024M.Bunyaviricetes.zip:14	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	18	Create new	family	Konkoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	19	Create new	genus	Olpivirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;[Konkoviridae//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales, otherProposals=2023.024M:18	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	19	Create new	genus	Olpivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	20	Create new	species	Olpivirus tulipae	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae;[Olpivirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae;Olpivirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae, otherProposals=2023.024M:19	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	20	Create new	species	Olpivirus tulipae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Konkoviridae;Olpivirus'	NA
