accession	species	virus_name
FM864233	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864236	Bracoviriform flavipedis	Cotesia flavipes bracovirus
FM864251	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864252	Bracoviriform marginiventris	Cotesia marginiventris bracovirus
FM864255	Bracoviriform flavipedis	Cotesia flavipes bracovirus
FM864260	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864261	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864263	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864265	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864266	Bracoviriform marginiventris	Cotesia marginiventris bracovirus
FM864267	Bracoviriform glomeratae	Cotesia glomerata bracovirus
FM864273	Bracoviriform flavipedis	Cotesia flavipes bracovirus
FM864274	Bracoviriform glomeratae	Cotesia glomerata bracovirus
FM864275	Bracoviriform marginiventris	Cotesia marginiventris bracovirus
FM864278	Bracoviriform glomeratae	Cotesia glomerata bracovirus
FM864281	Bracoviriform flavipedis	Cotesia flavipes bracovirus
FM864284	Bracoviriform flavipedis	Cotesia flavipes bracovirus
FM864288	Bracoviriform marginiventris	Cotesia marginiventris bracovirus
FM864290	Bracoviriform rubeculae	Cotesia rubecula bracovirus
FM864307	Bracoviriform melanoscelae	Cotesia melanoscela bracovirus
FM864363	Cotesia rubecula bracovirus	Cotesia rubecula bracovirus
FN557483	Cardiochiles nigriceps bracovirus	Cardiochiles nigriceps bracovirus
FN557484	Cardiochiles nigriceps bracovirus	Cardiochiles nigriceps bracovirus
FN557485	Cardiochiles nigriceps bracovirus	Cardiochiles nigriceps bracovirus
FN557486	Cardiochiles nigriceps bracovirus	Cardiochiles nigriceps bracovirus
FN557487	Cardiochiles nigriceps bracovirus	Cardiochiles nigriceps bracovirus
FN645923	Bhendi yellow vein Haryana virus	Bhendi yellow vein Haryana virus
FR715681	Mesta yellow vein mosaic virus	Mesta yellow vein mosaic virus
FR751068	Sweet potato leaf curl Uganda virus	sweet potato leaf curl Uganda virus
FR797982	Cotesia congregata bracovirus	Cotesia congregata bracovirus
GQ429152	Phocid gammaherpesvirus 2	phocid gammaherpesvirus 2; phocid herpesvirus 2
GQ468266	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468267	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468268	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468269	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468270	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468271	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468272	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468273	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468274	Mammalian orthoreovirus	mammalian orthoreovirus
GQ468275	Mammalian orthoreovirus	mammalian orthoreovirus
GQ849007	Avian avulavirus 1	Newcastle disease virus
GQ979703	Lactococcus virus P2	Lactococcus phage p2
GU188428	Fowl aviadenovirus C	fowl adenovirus 4
GU249595	Psittaciform 1 orthobornavirus	parrot bornavirus 1
GU732204	Radish leaf curl virus	radish leaf curl virus
GU985153	Cacao swollen shoot Togo A virus	cacao swollen shoot Togo A virus
HF960235	Invertebrate iridescent virus 25	Invertebrate iridescent virus 25
HG934339	Metapneumovirus avis	avian metapneumovirus
HM246720	Campylobacter virus IBB35	Campylobacter phage vB_CcoM-IBB
HM246721	Campylobacter virus IBB35	Campylobacter phage vB_CcoM-IBB
HM246722	Campylobacter virus IBB35	Campylobacter phage vB_CcoM-IBB
HM246723	Campylobacter virus IBB35	Campylobacter phage vB_CcoM-IBB
HM246724	Campylobacter virus IBB35	Campylobacter phage vB_CcoM-IBB
HM566170	Phlebovirus napoliense	sandfly fever Naples virus
HM566171	Phlebovirus napoliense	sandfly fever Naples virus
HM566172	Phlebovirus napoliense	sandfly fever Naples virus
HM566188	Phlebovirus uriuranaense	Uriurana virus
HM566189	Phlebovirus uriuranaense	Uriurana virus
HM566190	Phlebovirus uriuranaense	Uriurana virus
HM583801	Human respirovirus 3	human parainfluenza virus 3
HQ291309	Ungulate bocaparvovirus 2	ungulate bocaparvovirus 2; porcine bocavirus
HQ333270	Berlinvirus Yepf	Yersinia phage Yep-phi
HQ660095	Bat mumps orthorubulavirus	bat mumps virus
HQHQ847905	Baboon orthoreovirus	baboon orthoreovirus
J04331	Lymphocytic choriomeningitis mammarenavirus	lymphocytic choriomeningitis virus
JF699138	Mastadenovirus bosdecimum	bovine adenovirus 10
JF803264	Tomato mottle leaf curl virus	tomato mottle leaf curl virus
JF828358	Cuevavirus lloviuense	Lloviu virus
JN175269	Pseudomonas virus Ptobp6g	Pseudomonas phage PhiPto-bp6g
JN801039	Guaroa orthobunyavirus	Guaroa virus
JQ343919	Equid alphaherpesvirus 8	equid alphaherpesvirus 8
JQ559282	Cordyline virus 2	cordyline virus 2
JQ898342	Aichivirus A	Aichi virus A6; Kathmandu sewage kobuvirus
JQ965700	Teseptimavirus YpPY	Yersinia phage YpP-Y
JQ965703	Teseptimavirus YpsPG	Yersinia phage YpsP-G
JQ995537	Carjivirus communis	Uncultured crAssphage
JX005842	Heartland banyangvirus	Heartland virus
JX005844	Heartland banyangvirus	Heartland virus
JX005846	Heartland banyangvirus	Heartland virus
JX100811	Caulobacter virus Karma	Caulobacter phage CcrKarma
JX100812	Caulobacter virus Magneto	Caulobacter phage CcrMagneto
JX121110	New Jersey vesiculovirus	vesicular stomatitis New Jersey virus
JX272320	Caulimovirus tessellodahliae	Dahlia mosaic virus
JX274035	Parrot hepatitis B virus	parrot hepatitis B virus
JX308829	Human polyomavirus 12	human polyomavirus 12
