accession	species	virus_name
NC012805	Coleviroid cbvd-6	Coleus blumei viroid 6
NC021720	Apscaviroid pvd-2	persimmon viroid 2
NC027432	Pospiviroid plvd	Portulaca latent viroid
NC028131	Apscaviroid glvd	grapevine latent viroid
NC035620	Apscaviroid lvd	lychee viroid
OQ7219011	Tequatrovirus vipecoom	Escherichia phage vB_VIPECOOM03
OU468883	Emaravirus fraxini	ash shoestring-associated virus
QQ198717	Kehishuvirus tikkala	Bacteroides cellulosilyticus phage 1
QQ198718	Kolpuevirus frurule	Bacteroides cellulosilyticus phage 3
QQ198719	Rudgehvirus jaberico	Bacteroides cellulosilyticus phage 11
U06635	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
U11427	Orthohantavirus moroense	El Moro Canyon virus
U12396	California encephalitis orthobunyavirus	La Crosse virus
U20621	Blueberry leaf mottle virus	blueberry leaf mottle virus
